的	dk
一	je
了	cu
是	si
不	he
我	wo
他	jd
在	dl
人	do
有	dh
这	nr
来	wn
你	ja
个	dj
上	li
到	gn
大	ke
道	aj
着	kb
说	sk
她	md
们	jf
也	du
就	lx
那	sy
地	ld
中	vi
子	su
出	ys
要	tm
下	le
为	jw
得	fq
和	ck
么	jc
时	wj
可	ge
去	we
会	dm
里	gi
过	jr
以	bu
看	nb
然	bp
对	fj
自	jo
好	ms
天	fe
之	kr
没	nd
都	fy
小	ci
心	lr
能	ch
还	hr
而	ye
后	al
想	vl
起	mg
生	go
家	vh
只	kf
多	bb
手	no
事	ls
面	heo
国	ks
头	wk
发	xu
如	mk
无	jx
身	zo
用	to
又	fu
把	gg
样	tk
开	ne
于	ae
点	tn
前	ar
已	gu
知	vk
什	jp
所	av
方	mr
现	sf
经	xp
见	fi
成	kt
些	ty
法	nw
行	fa
声	lz
年	vj
意	ml
己	gue
当	cc
但	jq
笑	lf
老	fn
两	ff
很	fh
情	hh
从	fo
作	jz
动	mw
话	sn
回	xi
力	wu
儿	xo
三	pe
长	bo
走	me
明	wh
间	fw
同	sl
分	so
气	vo
十	pei
眼	bh
女	mu
将	zb
定	pr
种	cv
进	yr
本	tj
此	ti
向	zk
正	kei
真	hf
实	vw
给	xc
高	gk
被	hz
学	ns
问	fk
神	hw
与	qj
再	fl
才	te
全	ds
太	kj
因	qi
其	gei
主	kre
日	wi
打	ga
却	ww
让	sli
文	nre
最	wy
口	ki
听	kq
外	bl
二	yee
门	fr
几	ao
理	sg
公	co
等	ll
相	ve
光	hi
西	tei
白	doi
先	goe
者	fei
便	jb
住	jk
使	jl
并	an
重	ng
信	js
斯	gq
感	kl
做	jv
水	ni
新	ht
风	ah
应	am
少	vio
边	wr
觉	nf
色	dg
别	kw
名	bk
特	cl
何	jg
次	pre
山	yi
机	ta
吧	kg
位	jh
比	meu
关	ak
体	jt
部	hk
第	lxi
果	wt
马	au
死	bn
处	nl
怎	zl
安	vm
东	yc
像	jwo
四	ciu
工	lei
王	se
更	be
月	ho
由	ai
金	vor
呢	kz
尔	aou
直	heii
数	qm
内	liu
它	vn
路	zz
快	hv
美	kk
叫	kbu
吗	ka
军	qy
接	gh
加	tu
平	heroe
张	xb
望	xh
常	cy
放	mn
表	xj
难	fm
性	hg
入	dorr
场	lt
算	lb
海	nv
脸	hq
花	fyo
龙	leou
连	yrr
战	tke
轻	yp
爱	yd
夫	jee
利	cn
带	fqi
亲	hte
合	cor
通	tr
清	nh
立	hre
候	jvo
目	bi
民	qu
系	jdu
拉	ghr
变	pf
五	jeiu
原	ad
完	vle
结	xn
化	yo
跟	zh
世	dp
空	dle
受	yf
车	yeue
教	fs
今	qo
业	ji
啊	ky
许	sv
强	xk
飞	pw
德	fp
解	hs
电	wp
量	qg
思	gl
总	klr
任	jso
物	cj
度	df
活	nn
件	jco
林	meio
师	nj
非	zi
克	vx
象	wou
万	weu
该	sh
命	qk
士	leiee
似	jbu
城	lk
至	geur
吃	kv
提	gs
转	yy
制	vy
市	by
